Title,Summary,Publication Date,Source,URL,Category
China is part of the US election - but only from one candidate,"Belgium's King Philippe levelled direct criticism at the pontiff, saying it had ""taken far too long for the cries to be heard and acknowledged"".",25-10-10,BBC,https://www.bbc.com/news/articles/cy0lye0pxp8o,General
"Festival, football and floods: Photos of the week","Eric Adams, who is accused of accepting illegal campaign funds, has rejected calls from his party to resign.",25-10-10,BBC,https://www.bbc.com/news/videos/cvgx4njwgjdo,Politics
Kashmir hopes for a voice after first election in 10 years,"Omar Al Fayed says the allegations have ""thrown into question the loving memory I had of him"".",25-10-10,BBC,https://www.bbc.com/news/videos/cd0zvj0y9d7o,General
Blood tests help Bosnian families find closure after war,Two weeks ago the world did not know the capybara from Hoo Zoo in Telford existed.,25-10-10,BBC,https://www.bbc.com/news/videos/c8j7134jjj0o,General
Most watched,A Tasmanian court has overturned an anti-discrimination ruling that shut down the Ladies Lounge.,25-10-10,BBC,https://www.bbc.com/news/videos/czxdw657979o,General
Massive dinosaur skull unearthed in Northern Alberta,Follow live text updates and radio commentary from the Premier League featuring Newcastle United v Manchester City.,25-10-10,BBC,https://www.bbc.com/news/videos/cpqze3djd82o,General
Watch: BBC correspondent records moment air strike hits Beirut,World number one Jannik Sinner was cleared of wrongdoing after twice testing positive for a banned substance in March.,25-10-10,BBC,https://www.bbc.com/news/articles/cwy9j8ldp0lo,General
'A very dangerous and delicate moment for Lebanon',Follow live text from Sheffield Wednesday v West Bromwich Albion and nine other games in the Championship on Saturday.,25-10-10,BBC,https://www.bbc.com/news/articles/c5y52rpgdyzo,Sports
Dramatic flooding and rescues as Hurricane Helene hits Florida,Listen to BBC local radio commentaries and follow live text updates from day three of the last round of the County Championship season.,25-10-10,BBC,https://www.bbc.com/news/articles/cvglvy6gn54o,Sports
BBC asks Trump what he would do differently in the Middle East,Watch and follow live as Wales face Australia in their WXV 2 opener followed by Italy v Scotland on Saturday.,25-10-10,BBC,https://www.bbc.com/news/articles/czxdw5l5vxgo,General
Also in news,World number one Jannik Sinner was cleared of wrongdoing after twice testing positive for a banned substance in March.,25-10-10,BBC,https://www.bbc.com/news/articles/cx25gvlgnqgo,General
Uber terms mean couple can't sue after 'life-changing' crash,Aston Villa goalkeeper Emiliano Martinez will miss two World Cup qualifiers for Argentina.,25-10-10,BBC,https://www.bbc.com/news/articles/c5y52rpgdyzo,General
NYC mayor pleads not guilty to bribery and fraud charges,"New Zealand finish their Rugby Championship campaign on a high, with a comfortable victory over a much-improved Australia in Wellington.",25-10-10,BBC,https://www.bbc.com/news/articles/cvgdnmx3r43o,Politics
Judge says controversial women-only art exhibit is legal,Follow live text from Sheffield Wednesday v West Bromwich Albion and nine other games in the Championship on Saturday.,25-10-10,BBC,https://www.bbc.com/news/articles/c749nwrj1njo,Sports
